UID         PID   PPID  C STIME TTY          TIME CMD
root        717      1  0 15:34 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root        718      1  0 15:34 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        719      1  0 15:34 ?        00:00:00 /usr/bin/VGAuthService -s
root        721      1  0 15:34 ?        00:00:18 /usr/bin/vmtoolsd
root        723      1  0 15:34 ?        00:00:00 /usr/sbin/gssproxy -D
rtkit       725      1  0 15:34 ?        00:00:00 /usr/libexec/rtkit-daemon
polkitd     728      1  0 15:34 ?        00:00:06 /usr/lib/polkit-1/polkitd --no-debug
root        729      1  0 15:34 ?        00:00:01 /sbin/rngd -f
root        765      1  0 15:34 ?        00:00:00 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root        770      1  0 15:34 ?        00:00:00 /bin/bash /usr/sbin/ksmtuned
root        878      1  0 15:34 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       1129      1  0 15:34 ?        00:00:00 /usr/sbin/cupsd -f
root       1131      1  0 15:34 ?        00:00:02 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       1134      1  0 15:34 ?        00:00:00 /usr/sbin/sshd -D
root       1135      1  0 15:34 ?        00:00:01 /usr/sbin/rsyslogd -n
root       1144      1  0 15:34 ?        00:00:01 /usr/sbin/libvirtd
root       1158      1  0 15:34 ?        00:00:00 /usr/sbin/atd -f
root       1163      1  0 15:34 ?        00:00:00 /usr/sbin/crond -n
root       1164      1  0 15:34 ?        00:00:00 /usr/sbin/gdm
root       1192   1164  0 15:34 tty1     00:00:49 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-ILz59w/database -seat seat0 -nolisten tcp vt1
nobody     1338      1  0 15:34 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       1339   1338  0 15:34 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       1422      1  0 15:34 ?        00:00:00 /usr/libexec/postfix/master -w
postfix    1438   1422  0 15:34 ?        00:00:00 qmgr -l -t unix -u
root       1610      1  0 15:34 ?        00:00:00 /usr/libexec/upowerd
root       1669      1  0 15:34 ?        00:00:00 /usr/libexec/boltd
root       1679      1  0 15:34 ?        00:00:00 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
root       1680      1  0 15:34 ?        00:00:00 /usr/libexec/packagekitd
colord     1761      1  0 15:34 ?        00:00:00 /usr/libexec/colord
root       1882   1164  0 15:38 ?        00:00:00 gdm-session-worker [pam/gdm-password]
